"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFEADKAH_00675",852.606821267815,-2.38107641897786,0.0894842279366867,-26.6088949290881,5.35582907565274e-156,4.57293734674713e-155
"EFEADKAH_01274",16.5864343040291,-2.3755602575934,0.519199250446463,-4.57543083036163,4.75240967963596e-06,7.94000153792836e-06
"EFEADKAH_01497",21719.0758497801,-2.37511666718574,0.0730176091487674,-32.5279983126622,4.28692206899489e-232,5.59341260430761e-231
"EFEADKAH_00822",8448.42377079395,-2.35795186867315,0.0566802268280784,-41.600960345929,0,0
"EFEADKAH_02848",513.229444203934,-2.35730564674874,0.110051698916192,-21.4199841525746,8.70184859351256e-102,5.46403576267643e-101
"EFEADKAH_01932",1249.33319134001,-2.35349717082895,0.0840516399869761,-28.0006097584012,1.59723422023737e-172,1.50911095291392e-171
"EFEADKAH_01516",43570.0560169212,-2.35130220191641,0.0741396202374859,-31.7145164000659,9.80088495856499e-221,1.23082780271312e-219
"EFEADKAH_00362",4132.89673380702,-2.34432237473619,0.0647949018889988,-36.180660922248,1.22647677175244e-286,1.98741988713003e-285
"EFEADKAH_01514",16118.7692958538,-2.34134809102485,0.0542934915397365,-43.1239182565972,0,0
"EFEADKAH_01428",76.9345076745173,-2.33608405584867,0.251603006246813,-9.28480184198222,1.62008352970346e-20,3.97632879358814e-20
"EFEADKAH_01505",25720.834324412,-2.33303035972015,0.0530160068977849,-44.0061501466575,0,0
"EFEADKAH_01496",47425.3443445014,-2.33071890574394,0.0741318263290862,-31.4401927101783,5.71571158317147e-217,7.03149171905257e-216
"EFEADKAH_00202",2985.65326502588,-2.32464480052667,0.0675907384671301,-34.3929486975078,3.21424500794813e-259,4.74888943821357e-258
"EFEADKAH_02354",58.6254518919674,-2.32312786423819,0.280096015386166,-8.29404110242452,1.09464602276229e-16,2.49000989630606e-16
"EFEADKAH_00658",6839.76289631693,-2.31568082452059,0.0601874751720388,-38.4744636305392,0,0
"EFEADKAH_02063",4276.90598933538,-2.31492329098709,0.0617433624266604,-37.4926664179779,1.21283324999437e-307,2.20209603342352e-306
"EFEADKAH_01485",34702.847430026,-2.30913286085939,0.0522045112199993,-44.2324390535577,0,0
"EFEADKAH_00352",501.853552221485,-2.30712918991744,0.110673923179232,-20.8461860178313,1.65067245557658e-96,9.95025356221561e-96
"EFEADKAH_02440",3.16678352807448,-2.30589871035518,1.17423144659071,-1.96375145381277,0.049558922396346,0.0641901985829767
"EFEADKAH_00487",4076.84126207749,-2.29032962211066,0.0692559990489153,-33.0704870850684,7.89728797091169e-240,1.07703284815963e-238
"EFEADKAH_02766",273.393095807641,-2.28775093980619,0.165402643991962,-13.8314048953013,1.64770706514892e-43,5.79485308559958e-43
"EFEADKAH_01808",1576.22800139757,-2.2856180617074,0.0871937848127976,-26.2130846437571,1.88503358724692e-151,1.5781920088784e-150
"EFEADKAH_01563",9624.38408128099,-2.27557364080141,0.0599660281098605,-37.9477132724624,0,0
"EFEADKAH_01517",56344.3240105814,-2.27508864294425,0.0586270620338431,-38.8061172437897,0,0
"EFEADKAH_01571",29032.5230129437,-2.27076926652524,0.067448846158728,-33.666539842378,1.78599276958792e-248,2.53914255072546e-247
"EFEADKAH_01340",19.6171069260161,-2.26957450171659,0.500952198267348,-4.53052109475994,5.88383791545525e-06,9.80856608251224e-06
"EFEADKAH_01871",219.370362135115,-2.26819218505578,0.168174208693241,-13.4871583620357,1.86137465795133e-41,6.33919007803991e-41
"EFEADKAH_01668",12427.3579692191,-2.26277170875264,0.0601482755035779,-37.6198933353964,0,0
"EFEADKAH_03125",18.3344069547501,-2.2590399078526,0.490074298148228,-4.6095865798074,4.03470484337341e-06,6.75213792222513e-06
"EFEADKAH_00521",318.704925256928,-2.25723503647032,0.143451235636694,-15.7352080409193,8.67710738926783e-56,3.57767464723026e-55
"EFEADKAH_00877",11340.4158978024,-2.2567259191426,0.0549791765622824,-41.0469210390246,0,0
"EFEADKAH_00118",609.100542758463,-2.25002603848722,0.109056456654454,-20.6317544830605,1.42389189538984e-94,8.46471434458578e-94
"EFEADKAH_01987",2158.48946192456,-2.2493186889513,0.0758143299457177,-29.668780170738,1.9418575510686e-193,2.09027094961456e-192
"EFEADKAH_00407",317.353517009845,-2.24725156646605,0.13804667316721,-16.2789259234378,1.39292319639045e-59,5.98897362898832e-59
"EFEADKAH_01112",4.19274580846244,-2.24500631896891,1.03533822384028,-2.16837963408878,0.0301298139396506,0.039777161285198
"EFEADKAH_00686",2236.47493835441,-2.23501642432873,0.0767342794673471,-29.1267011281419,1.64846744882269e-186,1.71919754005246e-185
"EFEADKAH_02093",1598.92238168591,-2.23165497463526,0.0831377437199483,-26.8428619154334,1.02188854793793e-158,8.97951044747792e-158
"EFEADKAH_02064",118498.697554053,-2.22997528838026,0.0612043138043017,-36.4349365227837,1.19161069530341e-290,1.97335968991455e-289
"EFEADKAH_03001",22.1909588350924,-2.22526752467089,0.441428409920199,-5.04106096178352,4.62957945667487e-07,8.01007605190475e-07
"EFEADKAH_00545",2939.7472739547,-2.22487359731981,0.0669312386999412,-33.2411836466096,2.73727664600999e-242,3.75006900503369e-241
"EFEADKAH_01662",1401.00621454757,-2.21815158413986,0.0829785447324423,-26.7316279321615,2.01952089680655e-157,1.73414130569086e-156
