"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFEADKAH_00722",13732.0210044221,-0.309759464908752,0.0529563419665306,-5.84933651770219,4.93537688714249e-09,9.11472177564183e-09
"EFEADKAH_00723",3533.45077985839,-0.99728248944957,0.0636971257626139,-15.6566325012252,2.99332502871495e-55,1.22413590726552e-54
"EFEADKAH_00724",1368.38313010587,-0.913160306654635,0.0758472296303768,-12.0394681665329,2.2037175357313e-33,6.6221382379802e-33
"EFEADKAH_00725",18.5748479014952,-1.49215218676603,0.462575013217753,-3.22575181133619,0.00125642257051488,0.00184544718690636
"EFEADKAH_00726",64.1228588065635,-1.73965856653372,0.250279744943783,-6.95085639840522,3.63075310664372e-12,7.41904397520283e-12
"EFEADKAH_00727",541.58947939856,-0.950782048331537,0.100886281195239,-9.42429473132769,4.33005673230256e-21,1.07679793656435e-20
"EFEADKAH_00728",136.588534434561,-1.92237403654282,0.189163284209706,-10.162511422733,2.91470100917916e-24,7.68583450714436e-24
"EFEADKAH_00729",1898.39598606601,1.36561922785589,0.0868567250330635,15.7226654278761,1.05778404891276e-55,4.35541137079654e-55
"EFEADKAH_00730",341.130696211723,-0.790878683299255,0.114169413416715,-6.92723786197072,4.29136711832571e-12,8.74522007750757e-12
"EFEADKAH_00731",39.1980235183591,-0.0495608994277133,0.287205360718101,-0.172562584847985,0.862995263588661,0.883514852057142
"EFEADKAH_00732",673.155143374387,-0.354688996866488,0.0899209434340903,-3.94445368699301,7.99821087076813e-05,0.000126477479352021
"EFEADKAH_00733",111.077104686645,-0.944239195577376,0.196428539427617,-4.80703668789089,1.53183888021201e-06,2.59817804443387e-06
"EFEADKAH_00734",39.6040447410578,-0.808110579912789,0.288839673049421,-2.79778249082327,0.00514547501537098,0.00726051577543452
"EFEADKAH_00735",21.6852023620139,0.134441363604472,0.39969504774485,0.336359843243027,0.736599527550942,0.773557831372313
"EFEADKAH_00736",4.14050872007088,-0.606269220375131,0.908484497136358,-0.667341294525286,0.504554154989558,0.555617911267273
"EFEADKAH_00737",23.9088710381444,-0.00895337127172923,0.362998644144584,-0.0246650267601635,0.980322151190813,0.982604244658833
"EFEADKAH_00738",5.23375796342675,2.49889380035555,0.948153531764136,2.63553709039727,0.00840042444521238,0.01163016962695
"EFEADKAH_00739",3.2820890105677,0.982665323499262,1.00847263383091,0.974409508532112,0.329853250158525,0.379602022137379
"EFEADKAH_00740",70.4038349264482,-1.39451112373568,0.251742510375793,-5.5394344072203,3.03450073240429e-08,5.47336038747249e-08
"EFEADKAH_00741",194.149032158131,-0.59662319159299,0.141140304470128,-4.22716384120641,2.36655350542701e-05,3.83896246789936e-05
"EFEADKAH_00742",60.6841789494726,-1.001133074563,0.247709043340425,-4.04156853162261,5.30948590823413e-05,8.48954404637542e-05
"EFEADKAH_00743",402.194114279474,0.171885313436309,0.107222666721052,1.60306881644235,0.108919461748022,0.135262982162562
"EFEADKAH_00744",484.761423755855,2.2153704980901,0.11515606275483,19.2379840461087,1.77997723336285e-82,9.59722966253245e-82
"EFEADKAH_00745",120.639939485294,-0.944320877063915,0.178279626571581,-5.29685245153215,1.17815817456548e-07,2.08267961181253e-07
"EFEADKAH_00746",327.349107080842,-0.17774732409256,0.113297217499542,-1.56885868881359,0.116680869653673,0.144247801942645
"EFEADKAH_00747",527.862674527376,3.07959238379844,0.120384867712636,25.5812249688188,2.46833930383045e-144,2.00527618914959e-143
"EFEADKAH_00748",1884.66756706398,3.01784580986801,0.0905234042374885,33.3377410547959,1.09670371624371e-243,1.52325576071823e-242
"EFEADKAH_00749",124.549122885887,0.111907733520351,0.17369389302917,0.644281336371206,0.519393015940049,0.568221615260729
"EFEADKAH_00750",144.937293592126,0.0913123649892627,0.15607683796253,0.585047507248863,0.558515773396821,0.608152652101885
"EFEADKAH_00751",116.554588937391,-0.128137717629911,0.17804888012081,-0.719677189449141,0.471723773924497,0.522519461451096
"EFEADKAH_00752",41.0031232203174,-0.199240059316149,0.286092430926424,-0.696418491992151,0.486166785666089,0.536545841082971
"EFEADKAH_00753",60.7592712323686,0.216409020790244,0.239672479553599,0.902936462264321,0.366559617488583,0.416783795987604
"EFEADKAH_00754",12.6274058160767,0.164972746366618,0.508817133829187,0.324227969929173,0.745765447924473,0.782365840600196
"EFEADKAH_00755",35.0128970242418,-0.136633210455419,0.300660059246077,-0.454444167935157,0.649509168526145,0.693208439779675
"EFEADKAH_00756",1.33297739020421,1.75360627684945,1.70698482834486,1.02731216337159,0.304273496722748,0.352587589051274
"EFEADKAH_00757",16.7536238541505,0.436391802791681,0.470818154613981,0.926879727374732,0.353988983951754,0.404137423344919
"EFEADKAH_00758",289.291806254818,0.943250099007933,0.120027585036103,7.85861099116683,3.88416460609716e-15,8.52649098527083e-15
"EFEADKAH_00759",2.15268644910657,1.30072528914227,1.3090920435038,0.993608734845617,0.32041339000109,0.369443748073178
"EFEADKAH_00760",105.321339869641,1.91492989907735,0.199086801534451,9.61856780217538,6.67541111077842e-22,1.6822482514955e-21
"EFEADKAH_00761",137.942280349808,1.43165549175296,0.167984395875403,8.52255046840689,1.56077604607335e-17,3.61026784563705e-17
"EFEADKAH_00762",144.645945094427,-0.532101020073872,0.159183424063114,-3.3426911326075,0.00082970194190594,0.00123006475794614
"EFEADKAH_00763",29.6179759187622,0.897613205307405,0.339734513403209,2.64210190573746,0.00823932612833243,0.0114176225061122
"EFEADKAH_00764",15.1932233966533,0.940638965129522,0.496351413086375,1.89510685439679,0.0580782467539273,0.0747428845927997
"EFEADKAH_00765",18.6698696760119,0.713761674660297,0.444632030441738,1.60528622724544,0.108430828747172,0.134777698382146
"EFEADKAH_00766",6.48159093642633,0.257989340487151,0.693154647296055,0.372195932745381,0.709746974120698,0.749799291973286
"EFEADKAH_00767",15.5357014834486,0.0130060105924215,0.457350111059709,0.0284377554042476,0.977313011910578,0.980240072511975
"EFEADKAH_00768",3.18801139679268,0.344017417057297,0.980421120563192,0.350887399140973,0.725672825225047,0.764480215039599
"EFEADKAH_00769",7.62638382282664,0.191537125540557,0.695201368041114,0.275513159705447,0.782922016915957,0.814822844953279
"EFEADKAH_00770",78.7077867433311,0.193899714482187,0.220787631061481,0.878218193428568,0.379825320602108,0.430697334949117
"EFEADKAH_00771",1114.10306689484,-1.03654261953853,0.076668039726189,-13.519878990521,1.19371992307315e-41,4.07921978247448e-41
"EFEADKAH_00772",410.518647338827,1.25271613211505,0.104816043594381,11.951568568671,6.37112597344799e-33,1.90124491920517e-32
"EFEADKAH_00773",4.8978879539195,1.11691791220657,0.828269460798719,1.34849582783059,0.17749896117736,0.214852156220306
"EFEADKAH_00774",40.7955149635366,0.28506161505553,0.298688394987796,0.954377939816434,0.339892368693479,0.389371189373678
"EFEADKAH_00775",21.5405294297407,2.04470678074822,0.424889949086218,4.81232089661249,1.49187552957256e-06,2.53324667387701e-06
"EFEADKAH_00776",44.3642358274947,1.5948530988188,0.291014365913401,5.48032429194026,4.24546953605109e-08,7.62111088842049e-08
"EFEADKAH_00777",18.5551762272784,1.71049748919619,0.447148560087038,3.82534495663642,0.000130589100335382,0.000203619011076483
"EFEADKAH_00778",1.06025253506821,1.21895771747489,1.84755228296555,0.659768997453382,0.50940208135402,0.559321629581426
"EFEADKAH_00779",53.9993571294991,0.341524096246353,0.249424281733819,1.369249592992,0.170921268667413,0.207213341545326
"EFEADKAH_00799",9293.07576559688,0.0998619152141277,0.0610925153171092,1.6346014678849,0.102132619746811,0.127359419080218
"EFEADKAH_00800",4276.70413483151,0.0894653210872212,0.0714457607200175,1.25221315002606,0.210492205582209,0.251456007778351
"EFEADKAH_00801",16460.3063222855,-0.710565970838773,0.0595220332121318,-11.9378645602776,7.51272652177931e-33,2.23307275509298e-32
"EFEADKAH_00802",1597.38146614739,-0.92716426421311,0.077623908934718,-11.9443129950188,6.95224355709949e-33,2.07260752533114e-32
"EFEADKAH_00803",13462.5070823882,-1.95480685019731,0.0593545325408705,-32.9344157306144,7.07206856384875e-238,9.60144804118925e-237
"EFEADKAH_00804",324.995522526699,0.957435504164708,0.116157584082421,8.2425569688618,1.68568811204234e-16,3.81717803883969e-16
"EFEADKAH_00805",46292.7992366445,-1.35977063156747,0.0678153780225496,-20.0510661625351,1.97565594424306e-89,1.10886909049322e-88
"EFEADKAH_00806",40444.3709301539,-1.40228029624054,0.0598788917309743,-23.4186080554187,2.7622821550365e-121,1.95434704584038e-120
"EFEADKAH_00807",6053.48986615385,0.946888520782045,0.06083163990913,15.5657240573574,1.24453768149449e-54,5.0485014428323e-54
"EFEADKAH_00808",871.719069174755,0.833826570415203,0.0839012829509368,9.93818617651892,2.83950165436603e-23,7.33355440125039e-23
